instrument_id,ticker,latest_date,price,current_value_eur,weight,generated_at
AAPL,AAPL,2026-06-10,289.3900146484375,36317.72067694358,12.735374475569527,2026-06-10T14:57:45
MSFT,MSFT,2026-06-10,401.8599853515625,24346.685411615574,8.537544487274367,2026-06-10T14:57:45
NVDA,NVDA,2026-06-10,203.9600067138672,31774.927095582214,11.14237314328659,2026-06-10T14:57:45
BABA,BABA,2026-06-10,116.23999786376953,21127.199248963934,7.4085815144875635,2026-06-10T14:57:45
SPY,SPY,2026-06-10,732.510009765625,53888.92615730301,18.896991383472606,2026-06-10T14:57:45
QQQ,QQQ,2026-06-10,702.239990234375,36467.31999540662,12.78783380689332,2026-06-10T14:57:45
AGG,AGG,2026-06-10,98.44010162353516,21299.975413246782,7.469168167823204,2026-06-10T14:57:45
GLD,GLD,2026-06-10,378.0799865722656,31086.679396476204,10.901028366778393,2026-06-10T14:57:45
BTC_EUR,BTC-EUR,2026-06-10,53535.44140625,22484.885390625,7.884675308703064,2026-06-10T14:57:45
ETH_EUR,ETH-EUR,2026-06-10,1417.260009765625,6377.6700439453125,2.236429345711378,2026-06-10T14:57:45
